cancer_abbrev,n_samples,n_with_es,mean_psi,median_psi,pct_detected
PCPG,3,1,0.00412796697626419,0.0,33.33333333333333
LUAD,59,23,0.0021423665024449933,0.0,38.983050847457626
LUSC,51,31,0.0018267047279008138,0.0013477088948787063,60.78431372549019
THCA,59,27,0.0017210482826678771,0.0,45.76271186440678
HNSC,44,20,0.0015635787997079285,0.0,45.45454545454545
BLCA,19,3,0.0008405619930726248,0.0,15.789473684210526
ESCA,13,1,0.000726832222895215,0.0,7.6923076923076925
BRCA,112,44,0.0007134847725344269,0.0,39.285714285714285
STAD,37,7,0.0006548683251261599,0.0,18.91891891891892
PRAD,52,17,0.0005992814537089529,0.0,32.69230769230769
COAD,41,10,0.0004950852261162668,0.0,24.390243902439025
KICH,25,4,0.0003157812423185862,0.0,16.0
CHOL,9,1,0.0002966918854769322,0.0,11.11111111111111
KIRC,72,6,0.00025958957107370976,0.0,8.333333333333332
KIRP,32,2,0.0001912598895357516,0.0,6.25
READ,10,1,0.00016764459346186087,0.0,10.0
UCEC,35,1,0.0001367053998632946,0.0,2.857142857142857
LIHC,50,4,8.379699546950203e-05,0.0,8.0
GBM,5,0,0.0,0.0,0.0
CESC,3,0,0.0,0.0,0.0
PAAD,4,0,0.0,0.0,0.0
SARC,2,0,0.0,0.0,0.0
SKCM,1,0,0.0,0.0,0.0
THYM,2,0,0.0,0.0,0.0
