cancer_abbrev,n_samples,n_with_es,mean_psi,median_psi,pct_detected
LAML,126,80,0.005410496958904143,0.0037562692663106736,63.49206349206349
BLCA,414,40,0.0012572640778863973,0.0,9.66183574879227
TGCT,156,22,0.0012459993527093392,0.0,14.102564102564102
HNSC,503,85,0.0009979024305755736,0.0,16.898608349900595
CESC,305,41,0.0008176367865338629,0.0,13.442622950819672
THYM,117,11,0.0007773238525086105,0.0,9.401709401709402
DLBC,48,4,0.0007128718487462515,0.0,8.333333333333332
MESO,87,10,0.0006113525989902737,0.0,11.494252873563218
LGG,531,23,0.0005964675065758453,0.0,4.3314500941619585
STAD,415,91,0.0005113993107623114,0.0,21.927710843373493
OV,429,76,0.0004759247257761775,0.0,17.715617715617714
ESCA,185,40,0.0004290351740566255,0.0,21.62162162162162
THCA,513,44,0.0004129789965258804,0.0,8.57699805068226
LUSC,504,78,0.00041086625156851886,0.0,15.476190476190476
LIHC,374,52,0.0003791439019772898,0.0,13.903743315508022
ACC,77,2,0.0003790978188880335,0.0,2.5974025974025974
PAAD,179,18,0.0003715792336846013,0.0,10.05586592178771
CHOL,36,3,0.00033645872401909336,0.0,8.333333333333332
PRAD,506,113,0.0003342151651377626,0.0,22.33201581027668
GBM,170,10,0.0003250045647932932,0.0,5.88235294117647
LUAD,542,84,0.0003073981873982023,0.0,15.498154981549817
KIRP,288,9,0.00029479894125513436,0.0,3.125
UCS,57,3,0.00028266318372674215,0.0,5.263157894736842
SARC,261,9,0.00027907969788752327,0.0,3.4482758620689653
SKCM,471,25,0.00023248821410150097,0.0,5.3078556263269645
READ,166,10,0.00021701547159658249,0.0,6.024096385542169
KIRC,542,37,0.00020727086687619795,0.0,6.826568265682657
COAD,503,31,0.00018342905330137577,0.0,6.163021868787276
BRCA,1134,302,0.00016371514116643936,0.0,26.63139329805996
UCEC,552,23,0.00014590727169526055,0.0,4.166666666666666
PCPG,180,6,0.00013539067252622518,0.0,3.3333333333333335
KICH,66,2,8.427471538021526e-05,0.0,3.0303030303030303
UVM,80,0,0.0,0.0,0.0
