rail_id,es_reads,e34_reads,e45_reads,psi,cancer_abbrev,cancer_full,sample_type
117399,0,1772,2217,0.0,STAD,Stomach Adenocarcinoma,Primary Tumor
853024,0,247,298,0.0,SKCM,Skin Cutaneous Melanoma,Metastatic
853025,1,2171,2870,0.000396589331746976,PRAD,Prostate Adenocarcinoma,Primary Tumor
853026,0,161,182,0.0,BLCA,Bladder Urothelial Carcinoma,Primary Tumor
853027,0,47,74,0.0,LGG,Brain Lower Grade Glioma,Primary Tumor
853028,0,180,303,0.0,THCA,Thyroid Carcinoma,Primary Tumor
853029,0,8012,9025,0.0,BRCA,Breast Invasive Carcinoma,Primary Tumor
853030,0,190,230,0.0,HNSC,Head and Neck Squamous Cell Carcinoma,Solid Tissue Normal
853031,0,800,861,0.0,LUAD,Lung Adenocarcinoma,Primary Tumor
853088,0,329,393,0.0,HNSC,Head and Neck Squamous Cell Carcinoma,Primary Tumor
853089,0,322,392,0.0,LUSC,Lung Squamous Cell Carcinoma,Primary Tumor
853090,0,262,276,0.0,SARC,Sarcoma,Primary Tumor
853091,0,136,208,0.0,BRCA,Breast Invasive Carcinoma,Primary Tumor
853092,0,460,479,0.0,LUAD,Lung Adenocarcinoma,Primary Tumor
853093,0,610,837,0.0,PRAD,Prostate Adenocarcinoma,Primary Tumor
853094,0,406,541,0.0,LUSC,Lung Squamous Cell Carcinoma,Primary Tumor
853095,0,214,230,0.0,UCEC,Uterine Corpus Endometrial Carcinoma,Primary Tumor
853096,0,472,521,0.0,KICH,Kidney Chromophobe,Primary Tumor
853097,0,758,709,0.0,COAD,Colon Adenocarcinoma,Primary Tumor
853098,1,155,177,0.005988023952095809,COAD,Colon Adenocarcinoma,Primary Tumor
853099,0,226,274,0.0,KIRC,Kidney Renal Clear Cell Carcinoma,Primary Tumor
853100,0,386,430,0.0,THCA,Thyroid Carcinoma,Primary Tumor
853101,1,344,471,0.0024479804161566705,LAML,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood
853102,0,72,70,0.0,SARC,Sarcoma,Recurrent Tumor
853103,1,1266,1698,0.0006743088334457181,OV,Ovarian Serous Cystadenocarcinoma,Primary Tumor
853104,0,347,418,0.0,OV,Ovarian Serous Cystadenocarcinoma,Primary Tumor
853105,1,283,365,0.003076923076923077,BLCA,Bladder Urothelial Carcinoma,Primary Tumor
853106,0,222,297,0.0,PCPG,Pheochromocytoma and Paraganglioma,Primary Tumor
853107,0,297,473,0.0,LAML,ACUTE MYELOID LEUKEMIA,NA
853108,0,258,295,0.0,KIRP,Kidney Renal Papillary Cell Carcinoma,Primary Tumor
853109,1,1930,2356,0.0004664179104477612,LUAD,Lung Adenocarcinoma,Primary Tumor
853152,0,253,265,0.0,SARC,Sarcoma,Primary Tumor
853153,0,38,76,0.0,CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,Primary Tumor
853154,0,321,340,0.0,THCA,Thyroid Carcinoma,Primary Tumor
853155,1,1898,2399,0.00046522447080716444,BRCA,Breast Invasive Carcinoma,Primary Tumor
853156,0,360,451,0.0,PRAD,Prostate Adenocarcinoma,Primary Tumor
853157,1,316,473,0.0025284450063211127,READ,Rectum Adenocarcinoma,Primary Tumor
853158,0,383,453,0.0,CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,Primary Tumor
853159,0,434,519,0.0,UCEC,Uterine Corpus Endometrial Carcinoma,Primary Tumor
853160,0,644,813,0.0,CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,Primary Tumor
853161,1,663,1009,0.0011947431302270011,ESCA,Esophageal Carcinoma,Primary Tumor
853162,2,3305,3861,0.0005578800557880056,LUSC,Lung Squamous Cell Carcinoma,Primary Tumor
853163,0,335,430,0.0,STAD,Stomach Adenocarcinoma,Primary Tumor
853164,1,430,546,0.002044989775051125,PRAD,Prostate Adenocarcinoma,Primary Tumor
853165,0,619,885,0.0,OV,Ovarian Serous Cystadenocarcinoma,Primary Tumor
853166,0,33,34,0.0,KIRC,Kidney Renal Clear Cell Carcinoma,Primary Tumor
853167,1,642,764,0.0014204545454545455,THCA,Thyroid Carcinoma,Solid Tissue Normal
853216,0,444,519,0.0,BLCA,Bladder Urothelial Carcinoma,Primary Tumor
853217,0,923,1066,0.0,LUSC,Lung Squamous Cell Carcinoma,Primary Tumor
853218,0,291,275,0.0,SKCM,Skin Cutaneous Melanoma,Primary Tumor
853219,0,448,567,0.0,KICH,Kidney Chromophobe,Primary Tumor
